index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,75.36,69,20,12.66,TO,1627954382
1,ahuimanu,21.4447,-157.8378,87.51,56,1,14.97,US,1627954518
3,anadyr,64.75,177.4833,50.5,81,90,17,RU,1627954386
5,arraial do cabo,-22.9661,-42.0278,67.48,82,2,17.81,BR,1627954383
6,aguadulce,8.25,-80.55,78.13,86,100,4.85,PA,1627954525
7,souillac,-20.5167,57.5167,59.38,88,20,8.05,MU,1627954431
8,birnin kebbi,12.4539,4.1975,78.76,76,100,6.31,NG,1627954528
9,bathsheba,13.2167,-59.5167,81.21,78,20,10.36,BB,1627954370
10,roald,62.5833,6.1333,53.01,81,75,8.05,NO,1627954377
11,new norfolk,-42.7826,147.0587,52.75,73,97,1.99,AU,1627954376
12,mataura,-46.1927,168.8643,49.48,76,20,4.41,NZ,1627954358
13,busselton,-33.65,115.3333,50.04,78,100,6.6,AU,1627954356
14,punta arenas,-53.15,-70.9167,37.51,81,0,27.63,CL,1627954117
15,atuona,-9.8,-139.0333,77.45,74,5,18.14,PF,1627954182
16,fortuna,40.5982,-124.1573,62.85,85,75,5.01,US,1627954314
17,mar del plata,-38.0023,-57.5575,51.13,46,0,5.01,AR,1627954381
19,barrow,71.2906,-156.7887,44.62,87,90,16.11,US,1627954172
20,praia da vitoria,38.7333,-27.0667,73.76,100,90,3.69,PT,1627954434
21,tuktoyaktuk,69.4541,-133.0374,48.2,87,90,16.11,CA,1627954379
23,atambua,-9.1061,124.8925,84.72,43,40,1.81,ID,1627954378
24,saint-philippe,-21.3585,55.7679,67.59,67,0,2.28,RE,1627954353
25,port elizabeth,-33.918,25.5701,53.89,87,0,10.36,ZA,1627954388
26,oranjemund,-28.55,16.4333,57.24,67,0,4.16,NA,1627954551
27,aksha,50.2814,113.2867,75.31,48,20,3.83,RU,1627954553
28,florianopolis,-27.6146,-48.5012,58.23,63,40,1.01,BR,1627954457
29,vao,-22.6667,167.4833,66.85,67,0,6.2,NC,1627954469
30,algiers,36.7525,3.042,75.02,78,75,5.75,DZ,1627954382
33,mnogovershinnyy,53.9353,139.9242,50.95,93,100,5.82,RU,1627954561
34,grindavik,63.8424,-22.4338,51.91,100,75,4.61,IS,1627954357
35,hobart,-42.8794,147.3294,52.11,76,75,4,AU,1627954222
36,hambantota,6.1241,81.1185,79.14,94,20,4.61,LK,1627954441
37,bonito,-21.1211,-56.4819,62.02,54,0,4.79,BR,1627954566
38,ushuaia,-54.8,-68.3,37.06,87,75,28.77,AR,1627954352
39,nikolskoye,59.7035,30.7861,60.03,96,100,13.53,RU,1627954397
40,cochrane,51.1834,-114.4687,72.21,61,75,9.22,CA,1627954570
41,albany,42.6001,-73.9662,64.98,79,0,6.71,US,1627954016
42,georgetown,5.4112,100.3354,84.13,82,20,1.01,MY,1627954223
43,hulja,59.3522,26.2179,52.77,97,64,8.41,EE,1627954574
44,dikson,73.5069,80.5464,50.88,81,100,8.03,RU,1627954383
45,khatanga,71.9667,102.5,74.32,45,100,15.43,RU,1627954360
47,kapaa,22.0752,-159.319,87.78,74,75,5.01,US,1627954372
48,mahebourg,-20.4081,57.7,59.29,88,20,8.05,MU,1627954409
49,lagoa,39.05,-27.9833,71.4,93,62,5.86,PT,1627954444
50,bluff,-46.6,168.3333,49.8,58,19,7.18,NZ,1627954380
51,marzuq,14.4,46.4667,80.01,60,55,1.07,YE,1627954585
52,bayji,34.9311,43.487,90.73,28,11,12.39,IQ,1627954586
53,gympie,-26.1898,152.665,75.31,33,10,8.34,AU,1627954458
54,jamestown,42.097,-79.2353,62.24,67,1,2.19,US,1627954316
55,cape town,-33.9258,18.4232,56.12,95,0,3.44,ZA,1627954260
56,palmer,42.1584,-72.3287,67.55,74,20,3.44,US,1627954460
57,saint george,37.1041,-113.5841,102.79,16,1,1.01,US,1627954396
58,ketchikan,55.3422,-131.6461,64.87,59,40,10.36,US,1627954205
59,japura,-0.3167,102.35,83.82,69,60,2.53,ID,1627954596
60,tiksi,71.6872,128.8694,50.05,59,64,7.94,RU,1627954386
61,hami,42.8,93.45,83.1,18,2,7.67,CN,1627954495
62,jiuquan,39.7432,98.5174,74.53,18,8,6.46,CN,1627954600
63,fairbanks,64.8378,-147.7164,87.76,39,1,6.91,US,1627954258
64,san quintin,30.4833,-115.95,73.4,68,4,13.38,MX,1627954539
65,praia,14.9215,-23.5087,77.09,80,70,6.62,CV,1627954604
66,gravdal,68.1214,13.5031,49.26,76,95,8.52,NO,1627954606
67,sorland,67.667,12.6934,50.76,76,100,11.48,NO,1627954527
68,port alfred,-33.5906,26.891,54.86,86,0,13.51,ZA,1627954426
69,ribeira grande,38.5167,-28.7,72.82,92,25,7.36,PT,1627954349
70,ambilobe,-13.2,49.05,64.51,91,0,2.91,MG,1627954372
71,sturgeon falls,46.3646,-79.9326,66.16,76,51,10.36,CA,1627954612
72,hasaki,35.7333,140.8333,90.28,77,64,12.5,JP,1627954614
73,tuntum,-5.2581,-44.6489,71.42,43,10,1.92,BR,1627954615
74,namibe,-15.1961,12.1522,66.69,85,41,8.43,AO,1627954407
75,aripuana,-9.1667,-60.6333,74.82,44,10,3.38,BR,1627954618
76,severo-kurilsk,50.6789,156.125,54.3,74,100,15.57,RU,1627954406
77,cap malheureux,-19.9842,57.6142,59.49,65,0,6.85,MU,1627954495
78,tasiilaq,65.6145,-37.6368,44.76,81,100,1.92,GL,1627954393
79,bengkulu,-3.8004,102.2655,80.69,72,77,2.48,ID,1627954466
80,pevek,69.7008,170.3133,35.19,84,100,17.85,RU,1627954398
81,college,64.8569,-147.8028,85.66,42,1,6.91,US,1627954492
82,guerrero negro,27.9769,-114.0611,75.76,71,78,12.71,MX,1627954451
83,baykit,61.67,96.37,67.39,69,97,8.99,RU,1627954629
84,kabelvag,68.2114,14.4817,48.52,81,98,7.34,NO,1627954630
85,domoni,-12.2569,44.5319,73.35,81,0,9.86,KM,1627954632
86,narsaq,60.9167,-46.05,48.42,96,100,3.67,GL,1627954379
87,nyurba,63.2842,118.3319,77.94,39,0,9.01,RU,1627954635
88,rikitea,-23.1203,-134.9692,69.6,57,44,21,PF,1627954356
89,avarua,-21.2078,-159.775,78.85,78,75,10.36,CK,1627954398
90,vardo,70.3705,31.1107,48.52,81,100,4,NO,1627954518
91,zhanakorgan,43.9098,67.2495,89.02,22,53,12.48,KZ,1627954640
92,butaritari,3.0707,172.7902,82.11,72,40,2.93,KI,1627954422
93,hithadhoo,-0.6,73.0833,81.97,72,99,7.83,MV,1627954361
94,qaanaaq,77.484,-69.3632,43.48,70,78,2.66,GL,1627954350
95,porosozero,62.7191,32.727,56.84,97,100,11.68,RU,1627954645
96,abu kamal,34.4506,40.9171,91.38,22,97,12.33,SY,1627954354
97,luanda,-8.8368,13.2343,69.6,88,1,4.88,AO,1627954331
98,acapulco,16.8634,-99.8901,85.82,79,40,9.22,MX,1627954649
99,yellowknife,62.456,-114.3525,89.29,27,75,8.05,CA,1627954270
100,wamba,8.9333,8.6,70.23,95,100,2.06,NG,1627954652
101,amahai,-3.3333,128.9167,82.26,77,38,7.05,ID,1627954524
102,klaksvik,62.2266,-6.589,49.12,88,100,12.44,FO,1627954367
104,sobolevo,54.4299,31.8996,53.91,98,22,6.73,RU,1627954440
105,razdolnoye,43.55,131.9167,75.61,80,100,4.18,RU,1627954659
106,ostrovnoy,68.0531,39.5131,50.58,98,89,6.71,RU,1627954409
107,husavik,66.0449,-17.3389,48.11,89,95,1.66,IS,1627954662
108,lorengau,-2.0226,147.2712,84.9,71,48,9.17,PG,1627954399
111,okha,53.5739,142.9478,56.39,82,100,12.93,RU,1627954667
112,lengshuitan,26.4111,111.5956,91.71,56,61,7.58,CN,1627954669
113,torbay,47.6666,-52.7314,61.68,83,90,4.61,CA,1627954365
114,la seyne-sur-mer,43.0982,5.8847,73.35,70,72,1.01,FR,1627954672
115,hermanus,-34.4187,19.2345,55.9,79,0,9.01,ZA,1627954362
116,castro,-24.7911,-50.0119,48.29,83,0,1.7,BR,1627954365
117,puerto ayora,-0.7393,-90.3518,70.61,92,40,8.21,EC,1627954353
118,kirakira,-10.4544,161.9205,81.1,68,100,10.4,SB,1627954677
119,ovalle,-30.5983,-71.2003,57.25,75,0,1.9,CL,1627954678
120,san patricio,28.017,-97.5169,87.66,70,90,8.39,US,1627954309
121,kaitangata,-46.2817,169.8464,52.93,53,36,10.67,NZ,1627954335
122,imbituba,-28.24,-48.6703,60.69,91,63,9.24,BR,1627954683
123,antofagasta,-23.65,-70.4,56.48,74,4,1.57,CL,1627954338
124,ballarpur,19.8333,79.35,77.31,81,100,9.64,IN,1627954685
125,rzhev,56.2624,34.3282,59.38,81,96,11.23,RU,1627954687
126,savannah bight,16.45,-85.85,82,81,11,20.69,HN,1627954688
127,kenai,60.5544,-151.2583,64.49,84,90,12.66,US,1627954690
128,luderitz,-26.6481,15.1594,66.07,35,0,4.47,NA,1627954296
129,inhambane,-23.865,35.3833,66.6,74,12,11.54,MZ,1627954391
130,labrea,-7.2586,-64.7981,74.66,46,35,2.95,BR,1627954694
131,thompson,55.7435,-97.8558,75.36,43,20,3.44,CA,1627954334
132,ponta do sol,32.6667,-17.1,73,72,22,6.08,PT,1627954370
133,saskylakh,71.9167,114.0833,71.24,41,22,10.6,RU,1627954386
134,abu dhabi,24.4667,54.3667,89.62,58,0,2.3,AE,1627954493
135,kamina,-8.7386,24.9906,57.97,47,13,3.44,CD,1627954701
136,mehamn,71.0357,27.8492,47.93,81,81,4.94,NO,1627954239
137,norman wells,65.282,-126.8329,87.84,29,1,8.05,CA,1627954383
138,egvekinot,66.3167,-179.1667,36.61,89,100,12.19,RU,1627954475
139,meulaboh,4.1363,96.1285,80.15,71,45,4.94,ID,1627954480
140,hilo,19.7297,-155.09,78.53,81,90,10.36,US,1627954125
141,cherskiy,68.75,161.3,47.66,53,100,20.15,RU,1627954396
142,hobyo,5.3505,48.5268,77.5,73,66,19.75,SO,1627954504
143,codrington,-38.2667,141.9667,51.96,78,66,21.68,AU,1627954494
144,cap-aux-meules,47.3821,-61.8597,59.05,88,90,10.36,CA,1627954413
145,burns lake,54.2331,-125.7533,81.82,30,53,5.84,CA,1627954714
146,tura,25.5198,90.2201,77.45,94,100,3.83,IN,1627954406
147,methoni,36.8197,21.7049,84.22,56,0,14.27,GR,1627954717
148,pangkalanbuun,-2.6833,111.6167,84.47,69,100,3.96,ID,1627954718
149,faanui,-16.4833,-151.75,78.84,77,20,12.84,PF,1627954361
150,kavieng,-2.5744,150.7967,83.62,75,29,9.42,PG,1627954413
151,xian,34.2583,108.9286,85.01,54,60,2.42,CN,1627954432
152,gashua,12.871,11.0482,78.57,76,91,11.77,NG,1627954724
153,carnarvon,-24.8667,113.6333,55.47,37,0,16.11,AU,1627954368
154,kenora,49.8167,-94.4337,74.37,53,40,5.75,CA,1627954726
155,los llanos de aridane,28.6585,-17.9182,69.55,92,75,12.66,ES,1627954349
156,mountain home,43.133,-115.6912,90.88,22,20,10.36,US,1627954729
157,kamaishi,39.2667,141.8833,85.15,77,100,13.58,JP,1627954731
158,ballina,-28.8667,153.5667,69.76,83,40,9.22,AU,1627954732
159,yulara,-25.2406,130.9889,51.64,58,0,14.97,AU,1627954355
160,victoria,22.2855,114.1577,85.96,89,100,1.99,HK,1627954370
161,henderson,36.0397,-114.9819,108.84,13,1,0,US,1627954584
162,lichinga,-13.3128,35.2406,51.37,50,1,7,MZ,1627954738
163,baglung,28.2719,83.5898,74.64,91,48,2.21,NP,1627954739
164,longyearbyen,78.2186,15.6401,44.44,70,75,26.46,SJ,1627954369
165,beitbridge,-22.2167,30,59.99,80,0,18.63,ZW,1627954742
166,biak,-0.9131,122.8766,82.6,66,37,7.74,ID,1627954743
167,opuwo,-18.0607,13.84,56.59,47,0,3.04,NA,1627954378
168,chara,56.9064,118.2631,61.47,60,80,2.26,RU,1627954746
169,airai,-8.9266,125.4092,75.2,31,22,4.99,TL,1627954459
170,cidreira,-30.1811,-50.2056,51.4,88,0,4.76,BR,1627954365
171,naberera,-4.2,36.9333,53.38,97,97,3.49,TZ,1627954750
172,auki,-8.7676,160.7034,83.03,68,94,5.3,SB,1627954752
173,asyut,27.181,31.1837,82.58,19,1,3.2,EG,1627954514
174,lokosovo,61.1333,74.8167,55.31,97,100,3.76,RU,1627954755
175,magole,-6.3667,37.3667,63.77,91,66,1.59,TZ,1627954756
176,berdigestyakh,62.0989,126.6992,67.96,71,100,8.01,RU,1627954758
177,komsomolskiy,40.4272,71.7189,72.82,53,39,4.61,UZ,1627954448
178,north ogden,41.3072,-111.9602,82.08,51,1,1.01,US,1627954570
180,iwanai,42.9744,140.5089,85.86,63,91,7.67,JP,1627954447
181,tambura,5.6,27.4667,66.7,96,93,1.92,SS,1627954765
182,kabo,7.6994,18.629,69.91,97,100,6.78,CF,1627954766
183,lisakovsk,52.5369,62.4936,72.28,54,81,2.77,KZ,1627954768
184,jalu,29.0331,21.5482,85.23,26,0,7.18,LY,1627954393
185,sao felix do xingu,-6.6447,-51.995,72.93,47,5,1.54,BR,1627954514
186,matagami,49.7502,-77.6328,66.31,68,90,10.36,CA,1627954772
187,maceio,-9.6658,-35.7353,72.84,94,75,2.3,BR,1627954761
188,nishihara,26.1842,127.7558,87.46,79,40,20.71,JP,1627954775
189,nanortalik,60.1432,-45.2371,44.17,96,100,2.57,GL,1627954404
190,binga,-17.6203,27.3414,59.34,58,0,2.84,ZW,1627954777
191,tamano,34.4833,133.95,91.89,75,35,5.88,JP,1627954779
192,east london,-33.0153,27.9116,57.97,80,1,16.73,ZA,1627954364
193,barcelona,41.3888,2.159,74.53,85,20,2.3,ES,1627954778
194,naranjal,-2.6667,-79.6167,75,83,63,2.08,EC,1627954783
195,annau,37.8876,58.516,81.9,18,20,11.5,TM,1627954784
196,trairi,-3.2778,-39.2689,76.42,80,7,7.67,BR,1627954568
197,laguna,38.421,-121.4238,98.76,14,1,3,US,1627954156
199,ancud,-41.8697,-73.8203,49.53,94,100,4.41,CL,1627954390
200,chokurdakh,70.6333,147.9167,55.26,35,16,8.88,RU,1627954432
201,itarema,-2.9248,-39.9167,75.18,80,14,4.27,BR,1627954792
202,bainbridge,47.6262,-122.5212,90.3,49,1,3,US,1627954794
203,rundu,-17.9333,19.7667,51.84,44,0,4.12,NA,1627954795
204,marsh harbour,26.5412,-77.0636,82.65,69,100,10.8,BS,1627954797
205,inongo,-1.95,18.2667,69.08,59,98,3.47,CD,1627954798
206,port hedland,-20.3167,118.5667,68.05,17,38,20.71,AU,1627954353
207,camacha,33.0833,-16.3333,69.53,83,40,14.97,PT,1627954407
208,paralimni,35.0375,33.9833,87.12,38,0,4,CY,1627954805
209,mazsalaca,57.8633,25.0547,55.99,97,4,6.2,LV,1627954806
210,malindi,-3.2175,40.1191,73.53,82,69,10.13,KE,1627954808
211,voh,-20.9667,164.7,77.14,42,0,5.99,NC,1627954809
212,pangnirtung,66.1451,-65.7125,44.42,91,100,3.94,CA,1627954390
214,beringovskiy,63.05,179.3167,44.19,94,100,8.66,RU,1627954426
215,linxia,35.6003,103.2064,58.68,91,100,3.15,CN,1627954816
216,yamada,39.4667,141.95,85.28,71,99,12.44,JP,1627954817
217,muscat,23.6139,58.5922,89.62,70,41,2.73,OM,1627954819
218,rawson,-43.3002,-65.1023,55.76,37,67,9.55,AR,1627954820
219,broken hill,-31.95,141.4333,49.71,71,6,20.71,AU,1627954822
220,petropavlovsk-kamchatskiy,53.0452,158.6483,59.59,63,75,6.71,RU,1627954769
221,te anau,-45.4167,167.7167,45.45,77,55,2.19,NZ,1627954429
222,griffith,41.5284,-87.4237,73.33,63,90,3.44,US,1627954328
223,pisco,-13.7,-76.2167,62.65,82,90,11.5,PE,1627954389
224,talnakh,69.4865,88.3972,76.35,43,98,5.7,RU,1627954410
225,sioux lookout,50.1001,-91.917,73.78,56,75,3.44,CA,1627954366
227,alvinopolis,-20.1067,-43.0489,55.02,76,7,1.99,BR,1627954833
228,teahupoo,-17.8333,-149.2667,76.96,72,62,12.21,PF,1627954834
230,srednekolymsk,67.45,153.6833,54.3,42,14,12.82,RU,1627954518
231,hofn,64.2539,-15.2082,52.95,85,100,7.25,IS,1627954452
232,kozluk,38.1938,41.4885,73.65,48,0,9.89,TR,1627954840
233,blackwater,-23.5833,148.8833,77.31,28,8,8.39,AU,1627954841
235,parabel,58.6978,81.4825,56.91,88,100,3.87,RU,1627954844
236,nelson bay,-32.7167,152.15,69.96,72,21,17.45,AU,1627954845
237,warmbad,-28.45,18.7333,59.47,24,0,12.75,NA,1627954847
238,ulaangom,49.9811,92.0667,70.59,35,3,3.27,MN,1627954848
239,waingapu,-9.6567,120.2641,84.74,62,68,13.82,ID,1627954446
240,sile,41.1754,29.6133,74.07,43,0,4.43,TR,1627954851
241,luka nad jihlavou,49.374,15.7019,55.87,94,8,3.15,CZ,1627954853
242,ucluelet,48.9329,-125.5528,92.05,75,0,1.99,CA,1627954294
243,hinche,19.15,-72.0167,76.42,92,89,4.61,HT,1627954856
244,upernavik,72.7868,-56.1549,47.14,68,95,6.2,GL,1627954434
245,mount gambier,-37.8333,140.7667,51.71,71,75,19.57,AU,1627954605
246,carutapera,-1.195,-46.02,74.03,91,7,3.42,BR,1627954860
247,nuuk,64.1835,-51.7216,49.87,87,90,2.3,GL,1627954861
248,dawson creek,55.7666,-120.2362,78.15,83,1,6.91,CA,1627954863
249,pekan,3.4836,103.3996,78.91,78,100,5.21,MY,1627954408
250,touros,-5.1989,-35.4608,72.5,86,16,15.17,BR,1627954866
251,olinda,-8.0089,-34.8553,71.33,94,75,5.75,BR,1627954867
252,la orilla,17.9833,-102.2333,81.37,81,35,5.79,MX,1627954869
253,tobe,33.7447,132.7901,89.65,65,75,5.75,JP,1627954870
255,sovetskiy,61.3614,63.5842,62.15,73,46,4.83,RU,1627954527
256,alenquer,-1.9417,-54.7383,75.54,66,89,3.76,BR,1627954412
257,sayyan,15.1718,44.3244,62.26,64,98,5.88,YE,1627954876
258,manadhoo,5.7667,73.3833,82.13,72,100,6.51,MV,1627954877
259,abha,18.2164,42.5053,64.22,82,0,3.44,SA,1627954879
260,hamilton,39.1834,-84.5333,72.23,70,1,3.44,US,1627954438
261,kutum,14.2,24.6667,72.45,69,39,13.87,SD,1627954882
262,esperance,-33.8667,121.9,51.64,74,72,15.86,AU,1627954373
263,leningradskiy,69.3833,178.4167,33.1,100,100,9.4,RU,1627954401
264,svetlaya,46.5389,138.3297,64.6,91,100,12.15,RU,1627954886
265,luwuk,-0.9516,122.7875,85.39,63,31,6.96,ID,1627954887
266,oktyabrskiy,54.4815,53.471,69.66,51,37,5.01,RU,1627954889
267,zlobin,45.2924,14.6541,63.7,79,0,5.75,HR,1627954890
268,pemangkat,1.1667,108.9667,82.98,74,84,7.07,ID,1627954892
269,la primavera,5.4906,-70.4092,72.95,85,100,6.64,CO,1627954893
270,alofi,-19.0595,-169.9187,71.49,26,75,5.75,NU,1627954432
271,healdsburg,38.6105,-122.8692,91.53,43,40,4,US,1627954896
272,kasongo-lunda,-6.4667,16.8167,66.79,32,47,1.57,CD,1627954898
273,mandera,3.9366,41.867,74.84,58,99,14.7,KE,1627954453
274,santiago del estero,-27.7951,-64.2615,58.62,34,0,6.98,AR,1627954299
275,yabrud,33.9674,36.6574,66.52,37,0,1.61,SY,1627954902
276,jinchang,38.4953,102.1739,72.07,41,99,5.88,CN,1627954903
277,mongomo,1.6274,11.3135,66.9,99,100,2.82,GQ,1627954905
278,port lincoln,-34.7333,135.8667,55.49,54,68,17.85,AU,1627954478
280,orsha,54.5153,30.4053,55.02,98,43,9.8,BY,1627954909
282,ulaanbaatar,47.9077,106.8832,60.93,77,40,2.24,MN,1627954857
283,vanimo,-2.6741,141.3028,85.96,69,50,8.75,PG,1627954410
284,riyadh,24.6877,46.7219,86.14,12,28,5.23,SA,1627954507
285,ostersund,63.1792,14.6357,46.85,76,90,10.36,SE,1627954244
286,dingle,10.9995,122.6711,86.81,67,100,16.04,PH,1627954375
287,sitka,57.0531,-135.33,62.49,72,75,0,US,1627954405
288,coahuayana,18.7333,-103.6833,87.28,85,85,2.37,MX,1627954402
289,ilulissat,69.2167,-51.1,44.62,87,100,2.3,GL,1627954396
291,north bend,43.4065,-124.2243,62.92,88,90,11.5,US,1627954923
292,korla,41.7597,86.1469,82.74,15,99,7.81,CN,1627954925
293,verkhoyansk,67.5447,133.385,73.81,27,0,4.99,RU,1627954926
294,isangel,-19.55,169.2667,75.31,64,20,11.5,VU,1627954374
295,filadelfia,39.9523,-75.1638,73.65,69,20,5.75,US,1627954752
296,sokoni,-6.4333,39.55,70.09,79,74,12.97,TZ,1627954931
297,giresun,40.5,38.5,45.72,94,98,5.12,TR,1627954932
